 Time;Temp;RPM;COUNTER;BearingDE;BearingNDE;Unbal;Misal;Losenes 
2019-03-15-12:47:57; 27.7;0.0;0.0;0.9284169;0.9284169;0.04731174;0.0;0.0
2019-03-15-12:48:18; 27.7;0.0;0.0;0.9151681;0.9151681;0.04027952;0.0;0.0
2019-03-15-12:48:38; 27.7;0.0;0.0;0.7443432;0.7443432;0.05115538;0.0;0.0
2019-03-15-12:48:58; 27.7;0.0;0.0;1.033517;1.033517;0.04712111;0.0;0.0
2019-03-15-12:49:18; 27.7;0.0;0.0;0.938465;0.938465;0.07165236;0.0;0.0
2019-03-15-12:49:38; 27.7;0.0;0.0;1.020579;1.020579;0.04685926;0.0;0.0
2019-03-15-12:49:59; 27.7;0.0;0.0;0.8921542;0.8921542;0.03218216;0.0;0.0
2019-03-15-12:50:19; 27.7;0.0;0.0;0.7552856;0.7552856;0.02948702;0.0;0.0
2019-03-15-12:50:39; 27.7;0.0;0.0;0.9522835;0.9522835;0.04190197;0.0;0.0
2019-03-15-12:50:59; 27.7;65201.0;0.0;19.13269;19.13269;0.8978256;0.0;0.0
2019-03-15-12:51:20; 27.7;65217.0;0.0;21.7805;21.7805;0.9575804;0.0;0.0
2019-03-15-12:51:40; 27.7;65213.0;0.0;17.47843;17.47843;0.8688049;0.0;0.0
2019-03-15-12:52:00; 27.8;65204.0;0.0;19.84364;19.84364;0.866753;0.0;0.0
2019-03-15-12:52:20; 27.8;65216.0;0.0;20.5063;20.5063;0.8993974;0.0;0.0
2019-03-15-12:52:40; 27.8;65208.0;0.0;17.97193;17.97193;0.9938455;0.0;0.0
2019-03-15-12:53:01; 27.8;65209.0;0.0;26.95975;26.95975;0.920682;0.0;0.0
2019-03-15-12:53:21; 27.9;65212.0;0.0;23.21761;23.21761;0.8626305;0.0;0.0
2019-03-15-12:53:41; 27.9;0.0;0.0;0.7031545;0.7031545;0.08769121;0.0;0.0
2019-03-15-12:54:01; 27.9;0.0;0.0;0.9442049;0.9442049;0.05349165;0.0;0.0
2019-03-15-12:54:22; 28.0;0.0;0.0;1.136601;1.136601;0.0416346;0.0;0.0
2019-03-15-12:54:42; 28.0;0.0;0.0;0.8820595;0.8820595;0.03580371;0.0;0.0
2019-03-15-12:55:02; 28.0;0.0;0.0;0.7722075;0.7722075;0.05924552;0.0;0.0
2019-03-15-12:55:22; 28.0;0.0;0.0;0.7302041;0.7302041;0.04017283;0.0;0.0
2019-03-15-12:55:42; 28.0;0.0;0.0;0.8880232;0.8880232;0.06936677;0.0;0.0
2019-03-15-12:56:03; 28.0;0.0;0.0;0.8423946;0.8423946;0.08018311;0.0;0.0
2019-03-15-12:56:23; 28.0;65213.0;0.0;22.01552;22.01552;0.9519778;0.0;0.0
2019-03-15-12:56:43; 28.0;65217.0;0.0;21.96723;21.96723;0.8367939;0.0;0.0
2019-03-15-12:57:03; 28.0;65212.0;0.0;21.8477;21.8477;0.9519458;0.0;0.0
2019-03-15-12:57:23; 28.0;0.0;0.0;6.787895;6.787895;0.06955321;0.0;0.0
2019-03-15-12:57:44; 28.0;0.0;0.0;0.8185356;0.8185356;0.03406144;0.0;0.0
2019-03-15-12:58:04; 28.1;0.0;0.0;0.9500414;0.9500414;0.06016029;0.0;0.0
2019-03-15-12:58:24; 28.1;0.0;0.0;0.8189572;0.8189572;0.04459547;0.0;0.0
2019-03-15-12:58:44; 28.1;0.0;0.0;1.00516;1.00516;0.07935482;0.0;0.0
2019-03-15-12:59:05; 28.1;0.0;0.0;0.88117;0.88117;0.05223391;0.0;0.0
2019-03-15-12:59:25; 28.1;0.0;0.0;0.7648269;0.7648269;0.02045993;0.0;0.0
2019-03-15-12:59:45; 28.1;0.0;0.0;0.8779562;0.8779562;0.0622558;0.0;0.0
2019-03-15-13:00:05; 28.1;0.0;0.0;0.9937493;0.9937493;0.03514726;0.0;0.0
2019-03-15-13:00:25; 28.1;0.0;0.0;0.7998703;0.7998703;0.06324014;0.0;0.0
2019-03-15-13:00:46; 28.1;0.0;0.0;0.9957687;0.9957687;0.04330829;0.0;0.0
2019-03-15-13:01:06; 28.1;65214.0;0.0;17.56951;17.56951;0.9893454;0.0;0.0
2019-03-15-13:01:26; 28.0;65216.0;0.0;23.04889;23.04889;0.8529738;0.0;0.0
2019-03-15-13:01:46; 28.1;65213.0;0.0;29.72345;29.72345;0.9675261;0.0;0.0
2019-03-15-13:02:06; 28.1;0.0;0.0;0.8026952;0.8026952;0.04168287;0.0;0.0
2019-03-15-13:02:27; 28.1;0.0;0.0;0.8219486;0.8219486;0.04206087;0.0;0.0
2019-03-15-13:02:47; 28.1;0.0;0.0;0.8046726;0.8046726;0.09715934;0.0;0.0
2019-03-15-13:03:07; 28.1;0.0;0.0;0.7869034;0.7869034;0.03165628;0.0;0.0
2019-03-15-13:03:27; 28.1;0.0;0.0;0.9289034;0.9289034;0.04873678;0.0;0.0
2019-03-15-13:03:48; 28.1;0.0;0.0;0.8869029;0.8869029;0.05669676;0.0;0.0
2019-03-15-13:04:08; 28.1;0.0;0.0;0.8768103;0.8768103;0.0704462;0.0;0.0
2019-03-15-13:04:28; 28.1;0.0;0.0;0.7891954;0.7891954;0.06791223;0.0;0.0
2019-03-15-13:04:48; 28.1;0.0;0.0;0.8806085;0.8806085;0.05020395;0.0;0.0
2019-03-15-13:05:08; 28.1;0.0;0.0;0.8943759;0.8943759;0.06871115;0.0;0.0
2019-03-15-13:05:29; 28.1;0.0;0.0;0.8739426;0.8739426;0.04409478;0.0;0.0
2019-03-15-13:05:49; 28.1;0.0;0.0;0.8522362;0.8522362;0.05092502;0.0;0.0
2019-03-15-13:06:09; 28.1;0.0;0.0;0.9254286;0.9254286;0.0584172;0.0;0.0
2019-03-15-13:06:29; 28.1;0.0;0.0;0.7579521;0.7579521;0.05366677;0.0;0.0
2019-03-15-13:06:49; 28.1;0.0;0.0;0.9025959;0.9025959;0.06554532;0.0;0.0
2019-03-15-13:07:10; 28.1;0.0;0.0;1.093241;1.093241;0.05799721;0.0;0.0
2019-03-15-13:07:30; 28.1;0.0;0.0;0.9064271;0.9064271;0.0494707;0.0;0.0
2019-03-15-13:07:50; 28.1;0.0;0.0;0.8157386;0.8157386;0.06509519;0.0;0.0
2019-03-15-13:08:10; 28.1;0.0;0.0;0.9565296;0.9565296;0.02874193;0.0;0.0
2019-03-15-13:08:31; 28.1;0.0;0.0;0.8854145;0.8854145;0.06415225;0.0;0.0
2019-03-15-13:08:51; 28.1;0.0;0.0;0.888897;0.888897;0.05438425;0.0;0.0
2019-03-15-13:09:11; 28.1;0.0;0.0;0.8682752;0.8682752;0.07527613;0.0;0.0
2019-03-15-13:09:31; 28.1;0.0;0.0;0.8134306;0.8134306;0.01927589;0.0;0.0
2019-03-15-13:09:52; 28.0;0.0;0.0;0.8537486;0.8537486;0.04720654;0.0;0.0
2019-03-15-13:10:12; 28.0;0.0;0.0;0.8109316;0.8109316;0.03954753;0.0;0.0
2019-03-15-13:10:32; 28.0;0.0;0.0;0.8803132;0.8803132;0.0646203;0.0;0.0
2019-03-15-13:10:52; 28.0;0.0;0.0;0.8481801;0.8481801;0.05815061;0.0;0.0
2019-03-15-13:11:12; 28.0;0.0;0.0;0.8715447;0.8715447;0.0711662;0.0;0.0
2019-03-15-13:11:33; 28.0;0.0;0.0;1.015914;1.015914;0.07131791;0.0;0.0
2019-03-15-13:11:53; 28.0;0.0;0.0;0.7849511;0.7849511;0.04529301;0.0;0.0
2019-03-15-13:12:13; 28.0;65208.0;0.0;18.20302;18.20302;0.8548785;0.0;0.0
2019-03-15-13:12:33; 28.0;65216.0;0.0;26.06793;26.06793;0.8691405;0.0;0.0
2019-03-15-13:12:53; 28.0;65218.0;0.0;19.67861;19.67861;0.8919547;0.0;0.0
2019-03-15-13:13:14; 28.0;65223.0;0.0;23.36117;23.36117;0.9428102;0.0;0.0
2019-03-15-13:13:34; 28.0;65208.0;0.0;20.36108;20.36108;1.003091;0.0;0.0
2019-03-15-13:13:54; 28.1;65218.0;0.0;24.71262;24.71262;0.902873;0.0;0.0
2019-03-15-13:14:14; 28.1;65218.0;0.0;17.47071;17.47071;0.8499792;0.0;0.0
2019-03-15-13:14:34; 28.1;65197.0;0.0;15.830633;15.830633;0.9172471;0.0;0.0
2019-03-15-13:14:55; 28.2;65212.0;0.0;16.36072;16.36072;0.9988614;0.0;0.0
2019-03-15-13:15:15; 28.2;65215.0;0.0;17.63716;17.63716;0.9417485;0.0;0.0
2019-03-15-13:15:35; 28.2;65212.0;0.0;25.68986;25.68986;0.9711336;0.0;0.0
2019-03-15-13:15:55; 28.3;65210.0;0.0;22.16821;22.16821;0.8843812;0.0;0.0
2019-03-15-13:16:15; 28.3;65210.0;0.0;20.90501;20.90501;0.895744;0.0;0.0
2019-03-15-13:16:36; 28.3;65302.0;0.0;19.03972;19.03972;0.958661;0.0;0.0
2019-03-15-13:16:56; 28.3;65297.0;0.0;14.371592;14.371592;0.8587654;0.0;0.0
2019-03-15-13:17:16; 28.4;65298.0;0.0;20.003;20.003;0.8563458;0.0;0.0
2019-03-15-13:17:36; 28.4;65304.0;0.0;16.35469;16.35469;0.8890718;0.0;0.0
2019-03-15-13:17:57; 28.4;65292.0;0.0;17.57017;17.57017;0.8689772;0.0;0.0
2019-03-15-13:18:17; 28.5;65299.0;0.0;17.24493;17.24493;0.899213;0.0;0.0
2019-03-15-13:18:37; 28.5;65301.0;0.0;18.48906;18.48906;0.8855867;0.0;0.0
2019-03-15-13:18:57; 28.5;65304.0;0.0;21.23548;21.23548;0.8873909;0.0;0.0
2019-03-15-13:19:17; 28.6;65302.0;0.0;16.50938;16.50938;0.9503251;0.0;0.0
2019-03-15-13:19:38; 28.6;65294.0;0.0;15.420641;15.420641;0.9857743;0.0;0.0
2019-03-15-13:19:58; 28.6;0.0;0.0;0.920988;0.920988;0.05580368;0.0;0.0
2019-03-15-13:20:18; 28.6;65295.0;0.0;8.795237;8.795237;0.8524377;0.0;0.0
2019-03-15-13:20:38; 28.7;65302.0;0.0;22.00141;22.00141;0.9904429;0.0;0.0
2019-03-15-13:20:59; 28.7;65296.0;0.0;14.823019;14.823019;0.9522939;0.0;0.0
2019-03-15-13:21:19; 28.7;65527.0;0.0;9.344548;9.344548;0.9107618;0.0;0.0
2019-03-15-13:21:39; 28.8;0.0;0.0;0.9803188;0.9803188;0.04200785;0.0;0.0
2019-03-15-13:21:59; 28.8;0.0;0.0;0.644303;0.644303;0.03588654;0.0;0.0
2019-03-15-13:22:19; 28.8;0.0;0.0;1.026788;1.026788;0.05080972;0.0;0.0
2019-03-15-13:22:40; 28.8;0.0;0.0;0.6580586;0.6580586;0.02696408;0.0;0.0
2019-03-15-13:23:00; 28.8;0.0;0.0;0.7954317;0.7954317;0.05698568;0.0;0.0
2019-03-15-13:23:20; 28.8;0.0;0.0;0.9835255;0.9835255;0.05620494;0.0;0.0
2019-03-15-13:23:40; 28.8;0.0;0.0;0.8349298;0.8349298;0.05764019;0.0;0.0
2019-03-15-13:24:00; 28.8;0.0;0.0;0.9204122;0.9204122;0.03647814;0.0;0.0
2019-03-15-13:24:21; 28.8;0.0;0.0;0.935751;0.935751;0.03713821;0.0;0.0
2019-03-15-13:24:41; 28.8;0.0;0.0;0.825185;0.825185;0.07682939;0.0;0.0
2019-03-15-13:25:01; 28.8;0.0;0.0;0.9213411;0.9213411;0.0522865;0.0;0.0
2019-03-15-13:25:21; 28.8;0.0;0.0;0.7694034;0.7694034;0.08239085;0.0;0.0
2019-03-15-13:25:42; 28.8;0.0;0.0;0.8897022;0.8897022;0.02363283;0.0;0.0
2019-03-15-13:26:02; 28.8;0.0;0.0;0.7645009;0.7645009;0.03667968;0.0;0.0
2019-03-15-13:26:22; 28.8;0.0;0.0;1.039413;1.039413;0.05618551;0.0;0.0
2019-03-15-13:26:42; 28.8;0.0;0.0;1.148058;1.148058;0.07260896;0.0;0.0
2019-03-15-13:27:02; 28.7;0.0;0.0;0.8945374;0.8945374;0.010571368;0.0;0.0
2019-03-15-13:27:23; 28.7;0.0;0.0;0.8646209;0.8646209;0.03447923;0.0;0.0
2019-03-15-13:27:43; 28.7;0.0;0.0;0.860397;0.860397;0.02624015;0.0;0.0
2019-03-15-13:28:03; 28.7;0.0;0.0;0.9121978;0.9121978;0.02820527;0.0;0.0
2019-03-15-13:28:23; 28.7;0.0;0.0;0.9809653;0.9809653;0.03433566;0.0;0.0
2019-03-15-13:28:44; 28.7;0.0;0.0;0.9905246;0.9905246;0.03195964;0.0;0.0
2019-03-15-13:29:04; 28.7;0.0;0.0;0.9109178;0.9109178;0.04259084;0.0;0.0
2019-03-15-13:29:24; 28.6;0.0;0.0;0.6359253;0.6359253;0.02877359;0.0;0.0
2019-03-15-13:29:44; 28.6;0.0;0.0;0.6211936;0.6211936;0.05053151;0.0;0.0
2019-03-15-13:30:04; 28.6;0.0;0.0;0.8923782;0.8923782;0.04200209;0.0;0.0
2019-03-15-13:30:25; 28.6;0.0;0.0;0.8578166;0.8578166;0.06620242;0.0;0.0
2019-03-15-13:30:45; 28.6;0.0;0.0;0.6856894;0.6856894;0.01864852;0.0;0.0
2019-03-15-13:31:05; 28.6;0.0;0.0;1.043145;1.043145;0.05381108;0.0;0.0
2019-03-15-13:31:25; 28.6;0.0;0.0;0.9829878;0.9829878;0.03610089;0.0;0.0
2019-03-15-13:31:45; 28.6;0.0;0.0;0.9283182;0.9283182;0.05290829;0.0;0.0
2019-03-15-13:32:06; 28.6;0.0;0.0;1.063564;1.063564;0.05129857;0.0;0.0
2019-03-15-13:32:26; 28.6;0.0;0.0;0.9806333;0.9806333;0.047014;0.0;0.0
2019-03-15-13:32:46; 28.5;0.0;0.0;0.9494908;0.9494908;0.06532651;0.0;0.0
2019-03-15-13:33:06; 28.5;0.0;0.0;0.8516637;0.8516637;0.02750139;0.0;0.0
2019-03-15-13:33:26; 28.5;0.0;0.0;0.9337061;0.9337061;0.02623052;0.0;0.0
